timestamp,obj_type,meas_x,meas_y,pred_x,pred_y
19:01:46.210170,hand_right,728,746,730,757
19:01:46.330051,hand_left,327,468,324,469
19:01:46.330051,hand_right,730,748,728,753
19:01:46.449945,hand_left,326,466,325,470
19:01:46.449945,hand_right,724,743,728,749
19:01:46.570180,hand_left,327,468,325,470
19:01:46.570180,hand_right,726,742,726,746
19:01:46.690013,hand_left,329,468,325,470
19:01:46.690013,hand_right,725,743,725,742
19:01:46.809898,hand_left,331,471,326,470
19:01:46.809898,hand_right,728,749,724,740
19:01:46.925628,hand_left,333,473,327,471
19:01:46.925628,hand_right,739,751,724,741
19:01:47.045904,hand_left,337,478,329,472
19:01:47.166578,hand_left,334,487,332,475
19:01:47.285379,hand_left,333,497,333,480
19:01:47.406694,hand_left,334,503,334,487
19:01:47.525679,hand_left,338,506,334,494
19:01:47.642108,hand_left,348,508,336,501
19:01:47.761874,hand_left,357,508,341,506
19:01:47.881734,hand_left,364,509,347,510
19:01:48.002329,hand_left,371,510,354,514
19:01:48.121852,hand_left,374,510,362,516
19:01:48.241758,hand_left,375,510,369,518
19:01:48.361946,hand_left,374,506,375,518
19:01:48.477754,hand_left,372,506,379,517
19:01:48.598441,hand_left,371,507,380,516
19:01:48.717863,hand_left,366,506,381,515
19:01:48.838190,hand_left,363,507,379,513
19:01:48.838190,hand_right,1081,654,725,722
19:01:48.957915,hand_left,359,509,377,512
19:01:48.957915,hand_right,1071,634,1066,655
19:01:49.077925,hand_left,358,509,373,512
19:01:49.077925,hand_right,1076,600,1090,638
19:01:49.193791,hand_left,355,509,369,511
19:01:49.193791,hand_right,1071,603,1105,615
19:01:49.313737,hand_left,356,508,365,511
19:01:49.313737,hand_right,1070,608,1114,603
19:01:49.433680,hand_left,355,508,362,510
19:01:49.433680,hand_right,1078,586,1119,596
19:01:49.553768,hand_left,355,506,359,510
19:01:49.553768,hand_right,1076,570,1123,585
19:01:49.674062,hand_left,358,504,357,508
19:01:49.674062,hand_right,1083,537,1124,571
19:01:49.793758,hand_left,361,505,356,507
19:01:49.793758,hand_right,1091,507,1124,551
19:01:49.909885,hand_left,365,506,356,506
19:01:49.909885,hand_right,1110,458,1125,525
19:01:50.030285,hand_left,367,503,358,505
19:01:50.030285,hand_right,1132,401,1130,490
19:01:50.149758,hand_left,367,498,360,504
19:01:50.149758,hand_right,1142,357,1140,444
19:01:50.269632,hand_left,368,494,362,501
19:01:50.269632,hand_right,1145,350,1151,395
19:01:50.390329,hand_left,368,491,364,498
19:01:50.390329,hand_right,1147,364,1159,356
19:01:50.509909,hand_left,370,491,366,495
19:01:50.509909,hand_right,1141,350,1164,332
19:01:50.629914,hand_left,370,490,367,492
19:01:50.629914,hand_right,1143,363,1166,312
19:01:50.746086,hand_left,370,488,369,489
19:01:50.746086,hand_right,1140,361,1166,303
19:01:50.866468,hand_left,369,490,370,487
19:01:50.866468,hand_right,1135,351,1165,299
19:01:50.986233,hand_left,370,489,370,486
19:01:50.986233,hand_right,1134,357,1161,295
19:01:51.106181,hand_left,369,489,371,485
19:01:51.106181,hand_right,1132,360,1157,296
19:01:51.226412,hand_left,365,490,371,485
19:01:51.226412,hand_right,1129,363,1152,301
19:01:51.345612,hand_left,361,491,369,485
19:01:51.345612,hand_right,1128,366,1147,307
19:01:51.466081,hand_left,360,491,367,485
19:01:51.466081,hand_right,1124,371,1142,316
19:01:51.581886,hand_left,358,491,365,486
19:01:51.581886,hand_right,1120,373,1137,325
19:01:51.701545,hand_left,361,492,362,487
